Effective Date,PE CLASSES,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8 ,Step 9,Grade
"JUNE 1, 2024 (3.2%)",14A-PE270,$29.46,$30.16,$30.90,$31.71,$32.47,$33.31,$34.16,$34.97,$ -,7
"JUNE 1, 2024 (3.2%)",14A-PE130,$33.35,$34.27,$35.17,$36.08,$36.97,$37.90,$38.77,$39.69,$ -,7
"JUNE 1, 2024 (3.2%)",14A-PE262,$33.35,$34.27,$35.17,$36.08,$36.97,$37.90,$38.77,$39.69,$ -,7
"JUNE 1, 2024 (3.2%)",14A-PE115,$32.85,$33.64,$34.42,$35.23,$36.07,$36.89,$37.79,$38.61,$39.52,8
"JUNE 1, 2024 (3.2%)",14A-PE236,$33.35,$34.16,$34.93,$35.74,$36.51,$37.30,$38.11,$38.90,$39.69,8
"JUNE 1, 2024 (3.2%)",14A-PE248,$36.79,$37.66,$38.51,$39.40,$40.38,$41.27,$42.32,$43.25,$44.24,8
"JUNE 1, 2024 (3.2%)",14A-PE160,$36.79,$37.66,$38.51,$39.40,$40.38,$41.27,$42.32,$43.25,$44.24,9
"JUNE 1, 2024 (3.2%)",14A-PE180,$36.79,$37.66,$38.51,$39.40,$40.38,$41.27,$42.32,$43.25,$44.24,9
"JUNE 1, 2024 (3.2%)",14A-PE175,$36.79,$37.66,$38.51,$39.40,$40.38,$41.27,$42.32,$43.25,$44.24,10
"JUNE 1, 2024 (3.2%)",14A-PE182,$36.79,$37.66,$38.51,$39.40,$40.38,$41.27,$42.32,$43.25,$44.24,10
